person,n00007846
comb,n03075097
combination_lock,n03075370
comforter,n03075768
compact,n03079136
compact-disk_burner,n03079494
compass,n03080497
computer,n03082979
computer_keyboard,n03085013
computer_monitor,n03085219
computer_screen,n03085602
concert_grand,n03086457
condenser_microphone,n03087816
cone_clutch,n03089477
confectionery,n07596967
conference_center,n03089753
conference_room,n03089879
conference_table,n03090000
console,n03092656
console_table,n03092883
container_ship,n03095699
control,n03096960
control_center,n03097362
control_key,n03097673
control_panel,n03098140
control_room,n03098688
convertible,n03100346
cookie_cutter,n03101517
cookie_jar,n03101664
cookie_sheet,n03101796
cord,n03106722
corkscrew,n03109150
cornet,n03110669
costume,n03113657
cotton,n03115180
counter,n03116767
country_house,n03118969
country_store,n03119203
coupe,n03119396
court,n03120778
covered_bridge,n03122073
covered_couch,n03122202
covered_wagon,n03122295
cowboy_boot,n03124043
cowboy_hat,n03124170
cow_pen,n03124590
CPU_board,n03125057
cradle,n03125729
crampon,n03126385
crash_helmet,n03127747
crate,n03127925
cream,n03128519
cream_pitcher,n03129001
crib,n03131574
crock,n03133415
Crock_Pot,n03133878
croquet_ball,n03134739
cross,n03135532
crown,n03138669
crutch,n03141823
crystal,n03142679
crystal_microphone,n03143572
cue,n03145522
cue_ball,n03145719
cuirass,n03146219
cup,n07930864
cupboard,n03148324
cup_hook,n03148518
curb,n03149135
curb_roof,n03149401
curling_iron,n03150511
curtain,n03151077
cutter,n03154073
cutting_implement,n03154446
dais,n03159640
dam,n03160309
death_house,n03166809
deck,n03168107
deck_chair,n03168217
delicatessen,n03173387
delivery_truck,n03173929
desk,n03179701
desk_phone,n03179910
desktop_computer,n03180011
detector,n03180969
dial_telephone,n03187595
diaper,n03188531
digital_camera,n03196062
digital_clock,n03196217
digital_watch,n03197337
dining_area,n03200231
dining_car,n03200357
dining-room_furniture,n03200906
dining-room_table,n03201035
dining_table,n03201208
dinner_napkin,n03201895
dinner_pail,n03201996
DIP_switch,n03204558
directional_microphone,n03205143
disco,n03206282
dish,n07557434
dishrag,n03207743
dishwasher,n03207941
disk,n03208556
disk_brake,n03208938
display,n03211117
display_panel,n03211616
display_window,n03211789
Dixie_cup,n03216710
dock,n03216828
dogsled,n03218198
dolmen,n03220237
dome,n03220692
door,n03222318
doorbell,n03222516
doormat,n03223299
doorsill,n03223686
dormitory,n03224893
double_bed,n03225988
double_boiler,n03226254
double_door,n03226880
double-hung_window,n03227184
drafting_table,n03231368
drain_basket,n03232543
drawer,n03233905
drawing_chalk,n03234952
drawing_room,n03235180
dredging_bucket,n03236580
dress_blues,n03237212
dresser,n03237340
dressing_table,n03238586
dress_shirt,n03238879
drill,n03239726
drilling_platform,n03240683
drinking_fountain,n03241335
driver,n03244047
driving_iron,n03244775
drone,n03245889
drop_curtain,n03246454
drum,n03249956
drumstick,n03250847
dry_dock,n03251533
dry_wall,n03252637
dual_scan_display,n03252787
dulcimer,n03254737
dumbbell,n03255030
dump_truck,n03256166
Dutch_oven,n03259401
dwelling,n03259505
earphone,n03261776
easel,n03262809
easy_chair,n03262932
eggbeater,n03266371
eight_ball,n03267113
electric,n03268790
electric_blanket,n03270854
electric_chair,n03271030
electric_fan,n03271574
electric_guitar,n03272010
electric_heater,n03272239
electric_locomotive,n03272562
electric_organ,n03273551
electric_range,n03273740
electric_refrigerator,n03273913
electronic_equipment,n03278248
elevator,n03281524
embankment,n03282060
embassy,n03282295
engine,n03287733
entertainment_center,n03290653
envelope,n03291819
equipment,n03294048
escarpment,n03296328
espresso_maker,n03297495
euphonium,n03301568
exercise_bike,n03302671
exercise_device,n03302790
extractor,n03308152
eyepatch,n03309356
fabric,n03309808
face_powder,n03314780
face_veil,n03314884
facsimile,n03316105
factory,n03316406
fancy_dress,n03320519
fanjet,n03321419
faucet,n03325088
feather_boa,n03325584
fence,n03327234
Ferris_wheel,n03329302
ferry,n03329663
field_glass,n03333129
field_house,n03333610
fighter,n03335030
file,n03337140
file_folder,n03337383
file_server,n03337494
film,n03338821
filter,n03339643
finger,n03341153
finger_bowl,n03341606
fipple_flute,n03343354
fire,n03343560
fire_alarm,n03343737
firearm,n03343853
fire_bell,n03344305
fireboat,n03344393
fire_engine,n03345487
fire_iron,n03346135
fire_screen,n03347037
fire_tower,n03347617
fishing_boat,n03351262
fishing_rod,n03351979
flag,n03354903
flagpole,n03355925
flash,n03358172
flash_camera,n03358726
flashlight,n03359137
flash_memory,n03359436
flat_arch,n03360133
flat_bench,n03360622
flipper,n03364156
floatplane,n03365231
flood,n03365374
floor,n09282208
floor_cover,n03366823
floor_joist,n03366974
floor_lamp,n03367059
florist,n03367410
fluorescent_lamp,n03370387
flute,n03372029
fold,n03376159
folding_chair,n03376595
folding_door,n03376771
folding_saw,n03376938
football_helmet,n03379051
footbridge,n03379828
footstool,n03380724
forecourt,n03382292
fork,n03384167
forklift,n03384352
fountain,n03388043
fountain_pen,n03388183
four-poster,n03388549
frame,n03390983
free_house,n03393017
freight_car,n03393912
freight_elevator,n03394149
French_door,n03394649
French_horn,n03394916
French_polish,n03395256
French_window,n03395514
front_porch,n03399677
frying_pan,n03400231
funeral_home,n03402941
fur_coat,n03404251
furniture,n03405725
gable,n03409393
gallery,n03412058
game_equipment,n03414162
garage,n03416640
Garand_rifle,n03416775
garbage_truck,n03417042
garden_tool,n03418242
garrison_cap,n03420801
gas_burner,n03422072
gas_engine,n03422771
gas_gun,n03423306
gas_heater,n03423479
gasmask,n03424325
gas_oven,n03425241
gas_pump,n03425413
gas_range,n03425595
gas_tank,n03426134
gate,n03427296
gear,n03431243
gearing,n03431745
geodesic_dome,n03435593
gift_shop,n03436417
gig,n03436891
glass,n03438257
glasses_case,n03438863
glove,n03441112
goal,n03442756
goblet,n03443371
goggles,n03443912
go-kart,n03444034
golf_ball,n03445777
golfcart,n03445924
gondola,n03447447
gong,n03447721
government_building,n03449564
gown,n03450516
grand_piano,n03452741
greenhouse,n03457902
grill,n03459591
grille,n03459775
grocery_store,n03461385
groined_vault,n03461882
ground,n03462747
ground_floor,n03463381
guillotine,n03467068
guitar,n03467517
guitar_pick,n03467796
gun,n03467984
guy,n03471779
hacksaw,n03474779
hair_slide,n03476684
hair_spray,n03476991
half_track,n03478589
hall,n03478907
hammer,n03481172
hamper,n03482405
hand,n03482523
hand_blower,n03483316
hand_calculator,n03483823
handcart,n03484083
hand_glass,n03485198
hand-held_computer,n03485407
handkerchief,n03485794
hand_tool,n03489162
hand_towel,n03490006
hand_truck,n03490119
hanger,n03490884
hard_disc,n03492542
hard_hat,n03492922
harmonica,n03494278
harmonium,n03494537
harp,n03495258
harvester,n03496892
hat,n03497657
hatchback,n03498781
hatchet,n03498962
Hawaiian_guitar,n03499907
hay_bale,n03500389
haymaker,n03500699
headboard,n03502200
head_covering,n03502331
headquarters,n03504723
headscarf,n03505504
headset,n03505667
hearing_aid,n03506560
heater,n03508101
heat_sink,n03510244
hedge,n03511175
hedge_trimmer,n03511333
helicopter,n03512147
helmet,n03513137
hideaway,n03517647
high_altar,n03517899
high-hat_cymbal,n03518829
hipflask,n03521675
hip_roof,n03522100
holster,n03527444
home,n03528100
home_theater,n03529860
honeycomb,n03530642
hook,n03532919
hoopskirt,n03534580
horizontal_bar,n03535780
horse_cart,n03538406
horseshoe,n03539433
hose,n03540090
hospital,n03540595
hospital_bed,n03540914
hostel,n03541696
hot-air_balloon,n03541923
hotel,n03542333
hot_plate,n03543254
hot_rod,n03543394
hourglass,n03544143
hour_hand,n03544238
house,n03545150
house_of_cards,n03545756
housing,n03546340
hovel,n03547054
ice_maker,n03557692
ice_pack,n03557840
ice_rink,n03558176
ice_skate,n03558404
ignition_switch,n03561169
impact_printer,n03563200
in-basket,n03565830
ink_bottle,n03571625
ink-jet_printer,n03571942
instrument,n03574816
interceptor,n03577672
internal-combustion_engine,n03579982
internet,n03580615
intersection,n03581125
iPod,n03584254
video_iPod,n03584400
iron,n03585073
jacket,n03590475
jack-o'-lantern,n03590841
jar,n03593526
jean,n03594734
jeep,n03594945
jersey,n03595614
jet,n03595860
jetliner,n03596543
jigsaw_puzzle,n03598930
jinrikisha,n03599486
joystick,n03602883
jumbojet,n03604311
jumper,n03604400
kepi,n03610682
kettle,n03612965
key,n03613294
keyboard,n03614007
keyboard_instrument,n03614532
khimar,n03615655
kimono,n03617480
king,n03618101
king_post,n03618678
kit,n03619396
kitchen,n03619890
kite_balloon,n03621694
knee_pad,n03623198
knife,n03624134
knot,n03627232
lab_bench,n03630262
lab_coat,n03630383
lace,n03631177
ladder-back,n03632729
ladder_truck,n03632852
ladle,n03633091
lake_dwelling,n03634034
lamp,n03636649
lampshade,n03637318
land_line,n03639497
laptop,n03642806
laser,n03643253
laser_printer,n03643737
laundry,n03648219
laundry_cart,n03648431
lawn_chair,n03649674
lawn_furniture,n03649797
lawn_mower,n03649909
leaf_spring,n03652389
leash,n03652932
lectern,n03653583
leg,n03654826
lens_cap,n03657121
letter_opener,n03658185
library,n03661043
lid,n03661340
lifeboat,n03662601
life_buoy,n03662719
light,n03665366
light_bulb,n03665924
lighter,n03666591
limousine,n03670208
line_printer,n03672827
liner,n03673027
lipstick,n03676483
litterbin,n03678558
Loafer,n03680355
lock,n03682487
lock-gate,n03684143
locomotive,n03684823
loft,n03686130
log_cabin,n03686924
long_iron,n03688066
long_trousers,n03688605
lotion,n03690938
loudspeaker,n03691459
lounge,n03691817
loupe,n03692522
luggage_compartment,n03696065
luggage_rack,n03696301
lumbermill,n03697007
machine,n03700963
machine_gun,n03701391
magazine_rack,n03704549
magnetic_compass,n03706229
magnetic_disk,n03706653
mailbag,n03709823
mailbox,n03710193
maillot,n03710721
mail_train,n03711044
makeup,n03714235
mallet,n03715892
manhole_cover,n03717622
manometer,n03718335
maraca,n03720891
marble,n03721047
marimba,n03721384
marketplace,n03722288
mascara,n03724066
mask,n03724870
Mason_jar,n03725600
mast,n03726993
mat,n03727946
match,n03728437
matchstick,n03729826
material,n03729951
mattock,n03731019
maypole,n03733131
maze,n03733281
measuring_cup,n03733805
measuring_stick,n03735637
meat_counter,n03735963
meat_hook,n03736147
meat_thermometer,n03736470
mechanical_piano,n03738066
mechanism,n03738472
medicine_ball,n03742019
medicine_chest,n03742115
megalith,n03743016
memorial,n03743902
memory,n03744276
memory_chip,n03744684
menorah,n03746005
man's_clothing,n03746330
mercantile_establishment,n03748162
mess_jacket,n03751269
metal_detector,n03751757
metal_screw,n03752185
metal_wood,n03752398
meteorological_balloon,n03752922
metronome,n03757604
mezzanine,n03758220
microphone,n03759954
microscope,n03760671
microwave,n03761084
military_uniform,n03763968
milk_can,n03764736
milking_stool,n03765128
mill,n03765561
millinery,n03766508
minibus,n03769881
miniskirt,n03770439
minivan,n03770679
minute_hand,n03772584
mirror,n03773035
missile,n03773504
mitten,n03775071
mixing_bowl,n03775546
mixing_faucet,n03775636
mobile_home,n03776460
Model_T,n03777568
modem,n03777754
monastery,n03781244
money_belt,n03781683
monoplane,n03783873
mooring_tower,n03784793
moped,n03785016
morning_dress,n03786096
Morris_chair,n03786621
mortar,n03786901
mortarboard,n03787032
mosque,n03788195
mosquito_net,n03788365
motion-picture_film,n03789400
motorboat,n03790230
motorcycle,n03790512
motor_hotel,n03790755
motorized_wheelchair,n03790953
motor_scooter,n03791053
mound,n03792334
mountain_bike,n03792782
mountain_tent,n03792972
mouse_button,n03793850
mousetrap,n03794056
moving_van,n03796401
mug,n03797390
multiengine_airplane,n03798610
multistage_rocket,n03799375
musical_instrument,n03800933
music_box,n03801353
music_hall,n03801533
music_school,n03801671
music_stand,n03801760
music_stool,n03801880
musket_ball,n03802228
muzzle,n03803284
nail,n03804744
nailfile,n03805280
nail_polish,n03805725
napkin,n03807537
narrowbody_aircraft,n03809312
neck_brace,n03814639
necklace,n03814906
necktie,n03815615
needle,n03816136
nest,n03819336
net,n03820318
Newtonian_telescope,n03822767
ninepin_ball,n03825442
nipple,n03825788
Nissen_hut,n03826186
nose_flute,n03831757
notebook,n03832673
nuclear_reactor,n03834040
nursery,n03836062
oar,n03837422
obelisk,n03837869
oboe,n03838899
ocarina,n03840681
odometer,n03841143
office,n03841666
office_building,n03842012
office_furniture,n03842156
off-line_equipment,n03842377
oil_filter,n03843555
oilskin,n03844815
oil_tanker,n03845190
omelet_pan,n03846677
onion_dome,n03847471
open-air_market,n03847823
open_circuit,n03848033
open-end_wrench,n03848168
operating_table,n03850492
optical_disk,n03851787
optical_telescope,n03852688
ordinary,n03853924
organ,n03854065
organ_pipe,n03854815
O_ring,n03855604
oscilloscope,n03857828
ottoman,n03858418
outfit,n03859958
outside_mirror,n03861842
oven,n03862676
overall,n03863108
overskirt,n03866082
oxcart,n03868242
oxygen_mask,n03868863
pack,n03870980
packet,n03871628
paddle,n03873416
paddlewheel,n03874293
padlock,n03874599
page_printer,n03874823
paint,n03875218
paintball,n03875806
paintbrush,n03876231
pajama,n03877674
palace,n03877845
pallet,n03879456
pan,n03880531
panpipe,n03884397
pantry,n03885535
paper_clip,n03886762
paper_towel,n03887697
parachute,n03888257
parallel_bars,n03888605
park_bench,n03891251
parking_meter,n03891332
partition,n03894379
parts_bin,n03894677
passenger_car,n03895866
passenger_van,n03896419
patch,n03897943
patio,n03899768
patrol_boat,n03900194
pavilion,n03900979
pay-phone,n03902125
pedal,n03903424
pedestal,n03903868
pedestal_table,n03904060
peg,n03905947
pencil,n03908204
pencil_box,n03908618
pencil_sharpener,n03908714
pendulum_clock,n03909406
penitentiary,n03911513
penlight,n03911767
pennywhistle,n03912218
perfume,n03916031
Petri_dish,n03920288
pew,n03920867
photocopier,n03924679
photographic_paper,n03926412
piano,n03928116
piano_action,n03928589
piano_keyboard,n03928814
piccolo,n03929091
pick,n03929660
pickelhaube,n03929855
picket_fence,n03930313
pickup,n03930630
picture,n03931044
picture_hat,n03931885
picture_rail,n03931980
pier,n03933933
piggy_bank,n03935335
pile_driver,n03936466
pill_bottle,n03937543
pillow,n03938244
pillow_block,n03938401
pillow_lace,n03938522
pilot_bit,n03939062
pilot_boat,n03939178
pilot_engine,n03939565
pilot_light,n03939844
pin,n03940894
pinball_machine,n03941417
ping-pong_ball,n03942813
pinion,n03943115
pinwheel,n03944341
tabor_pipe,n03945459
pipe,n03945615
pipe_cleaner,n03945928
pipe_cutter,n03946076
pirate,n03947888
pistol,n03948459
pitcher,n03950228
pitch_pipe,n03950647
place_of_business,n03953020
place_of_worship,n03953416
plane,n03954731
planetarium,n03956157
plastic_bag,n03958227
plate,n07579787
plate_rack,n03961711
platform_bed,n03962852
platform_rocker,n03962932
playground,n03963645
playpen,n03964495
plow,n03967562
plug,n03967942
plunger,n03970156
pocket,n03972524
pocketknife,n03973628
point-and-shoot_camera,n03974915
Polaroid_camera,n03976467
pole,n03977158
police_boat,n03977592
police_van,n03977966
polo_mallet,n03978686
polo_shirt,n03978966
pommel_horse,n03980478
poncho,n03980874
pool_ball,n03982232
pool_table,n03982430
pop_bottle,n03983396
portable_computer,n03985232
post,n03988170
post_horn,n03989777
posthouse,n03989898
pot,n03991062
potentiometer,n03991646
potter's_wheel,n03992509
pottery,n03992703
pound,n03993703
power_cord,n03995265
power_drill,n03995372
power_pack,n03996004
prayer_rug,n03998194
press,n04000311
press_box,n04000592
press_of_sail,n04000998
Primus_stove,n04003241
printer,n04004767
printer_cable,n04004990
prison,n04005630
production_line,n04008385
projectile,n04008634
projector,n04009552
propeller,n04011827
propjet,n04012482
public_house,n04018399
public_toilet,n04018667
puck,n04019541
pulley,n04020298
pullover,n04021028
pump,n04021798
pump_action,n04022434
punching_bag,n04023962
pup_tent,n04025508
purse,n04026417
push_broom,n04026918
push_button,n04027023
puzzle,n04028315
pylon,n04028764
pyx,n04030274
quill,n04033901
quilt,n04033995
QWERTY_keyboard,n04036303
racer,n04037443
racing_boat,n04037964
rack,n04038727
racket,n04039381
radiator,n04040759
radio,n06277135
radio_antenna,n04041747
radio_receiver,n04043733
radio_telescope,n04044716
radome,n04045255
rag,n04045941
rail_fence,n04046974
railing,n04047733
railroad_bed,n04047834
rain_barrel,n04049303
rake,n04050066
rampart,n04051825
rasp,n04054670
read/write_head,n04058721
rearview_mirror,n04059947
reception_desk,n04061681
recess,n04061969
recording,n04063868
record_player,n04064401
recreational_vehicle,n04065272
recycling_bin,n04065789
recycling_plant,n04065909
red_carpet,n04066270
reel,n04067658
reflex_camera,n04069434
refrigerator,n04070727
refrigerator_car,n04070964
remote_control,n04074963
remote_terminal,n04075291
restaurant,n04081281
revolver,n04086273
ribbed_vault,n04087709
rifle,n04090263
river_boat,n04095210
road,n04096066
roadster,n04097373
rock_bit,n04098399
rocker,n04098795
rocket,n04099429
rocking_chair,n04099969
roll,n04101375
in-line_skate,n04102037
roller_coaster,n04102406
roof,n04105068
room,n04105893
room_light,n04107743
rope,n04108268
rope_bridge,n04108822
rope_tow,n04108999
rotisserie,n04111531
round_arch,n04113765
round_file,n04114301
row_house,n04115256
rowing_boat,n04115456
royal_mast,n04115996
rubber_eraser,n04116512
rug,n04118021
rugby_ball,n04118538
ruin,n04118635
rule,n04118776
running_shoe,n04120489
runway,n04120842
rushlight,n04121228
rya,n04121426
saddle,n04123740
saddle_blanket,n04124202
safe,n04125021
safety_bicycle,n04126066
safety_match,n04126980
safety_net,n04127117
safety_pin,n04127249
safety_razor,n04127521
safety_valve,n04127633
sail,n04128413
sailboat,n04128499
sailing_vessel,n04128837
salon,n04131208
saltshaker,n04131690
sandal,n04133789
sarong,n04136333
satellite,n04137444
saucepan,n04138977
saw,n04140064
sawhorse,n04140631
sax,n04141076
scabbard,n04141327
scaffolding,n04141712
scale,n04141975
scanner,n04143140
scatter_rug,n04144539
school,n04146050
school_bell,n04146504
school_bus,n04146614
school_ship,n04146862
schooner,n04147183
scimitar,n04147793
scissors,n04148054
sconce,n04148703
scooter,n04149374
scoreboard,n04149813
screen,n04152593
screen_door,n04153025
screw,n04153751
screwdriver,n07917272
scrub_brush,n04156140
scrub_plane,n04156297
sea_boat,n04158807
seaplane,n04160586
seat,n04162433
seat_belt,n04162706
second_hand,n04164757
secretary,n04164868
security_blanket,n04165675
security_system,n04165945
sedan,n04166281
Segway,n04168199
selector,n04169437
serving_cart,n04176068
serving_dish,n04176190
set,n04176528
set_gun,n04177041
sewing_basket,n04179712
sewing_kit,n04179824
sewing_machine,n04179913
sewing_needle,n04180063
sewing_room,n04180229
shackle,n04181228
shaft,n04182322
shag_rug,n04183217
shaver,n04185804
shaving_brush,n04185946
shaving_cream,n04186051
sheet,n04188179
shelf,n04190052
shelf_bracket,n04190376
shelter,n04192238
shield,n04192858
shin_guard,n04194127
ship,n04194289
shirt,n04197391
shirt_button,n04197781
shoe,n04200000
shoe_shop,n04200800
shoji,n04201297
shop,n04202417
shopping_bag,n04204081
shopping_basket,n04204238
shopping_cart,n04204347
short_circuit,n04204755
short_iron,n04205062
short_pants,n04205318
shot_tower,n04206790
shovel,n04208210
shower,n04208936
shower_cap,n04209133
shower_curtain,n04209239
shower_room,n04209509
shower_stall,n04209613
shredder,n04210120
shutter,n04211528
shuttle_bus,n04212165
shuttlecock,n04212282
sickbay,n04213105
sidewalk,n04215402
sieve,n04216634
signboard,n04217882
silo,n04220250
single_bed,n04222210
sister_ship,n04224543
skateboard,n04225987
ski,n04228054
ski_boot,n04228581
ski_mask,n04229816
ski-plane,n04230487
ski_pole,n04230603
skirt,n04230808
ski_tow,n04231693
skylight,n04232800
skyscraper,n04233124
sleeping_bag,n04235860
sleeve,n04236377
slide,n04238128
slide_projector,n04238617
slide_rule,n04238763
sliding_door,n04239074
sliding_window,n04239333
sling,n07917618
slipper,n04241394
slip_ring,n04241573
slot,n04243546
slot_machine,n04243941
small_boat,n04244997
small_computer_system_interface,n04245218
small_stores,n04245508
smokehouse,n04246731
smoke_screen,n04247011
snack_bar,n04247736
snare_drum,n04249415
snorkel,n04251144
snowbank,n04251701
snowboard,n04251791
snowmobile,n04252077
snowplow,n04252225
snowshoe,n04252331
soap_dish,n04254009
soap_dispenser,n04254120
soap_pad,n04254450
soccer_ball,n04254680
sock,n04254777
soda_fountain,n04255768
sofa,n04256520
soft_pedal,n04257223
solar_dish,n04258138
sombrero,n04259630
sound_camera,n04261638
soup_bowl,n04263257
space_bar,n04264628
space_heater,n04265275
space_shuttle,n04266014
space_station,n04266162
spatula,n04270147
spectacles,n04272054
speedboat,n04273569
spider_web,n04275548
spindle,n04277352
spinning_rod,n04279353
spirit_stove,n04280487
split_rail,n04282872
spoon,n04284341
sports_car,n04285008
sports_equipment,n04285146
sport_utility,n04285965
spotlight,n04286575
spring,n04288272
square_sail,n04292080
squash_racket,n04292414
squawk_box,n04292572
stable,n04294879
stadium,n04295881
stage,n04296562
stagecoach,n04297098
stall,n04299370
stamp,n04299963
stand,n04301000
starship,n04304215
starting_gate,n04304680
stealth_aircraft,n04308084
steam_locomotive,n04310018
steamroller,n04310157
steel_arch_bridge,n04311004
steel_drum,n04311174
steelyard,n04312154
steering_wheel,n04313503
stem-winder,n04314107
step,n04314914
step-down_transformer,n04315342
step_stool,n04315713
step-up_transformer,n04315828
stethoscope,n04317175
stick,n04318131
stiletto,n04318892
stock_car,n04322801
stole,n04325704
stone_wall,n04326547
stool,n04326896
stopwatch,n04328186
stove,n04330340
straight_chair,n04331277
straight_razor,n04332074
strainer,n04332243
strapless,n04334105
street,n04335209
streetcar,n04335435
street_clothes,n04335693
streetlight,n04335886
stretcher,n04336792
structure,n04341686
studio_couch,n04344873
study,n04345028
stupa,n04346328
submarine,n04347754
subway_train,n04349306
suede_cloth,n04350458
sugar_spoon,n04350769
suit,n04350905
suite,n04351550
Sunday_best,n04355115
sun_deck,n04355267
sundial,n04355338
sun_gear,n04355821
sunglass,n04355933
sunglasses,n04356056
sunhat,n04356595
sun_parlor,n04356925
sunscreen,n04357314
supermarket,n04358707
support,n04359589
support_column,n04360798
support_hose,n04360914
surface_ship,n04363082
surface-to-air_missile,n04363210
sushi_bar,n04366033
suspension_bridge,n04366367
sustaining_pedal,n04367011
swab,n04367480
sweater,n04370048
sweatshirt,n04370456
swimming_trunks,n04371430
swing,n04371774
switch,n04372370
switchblade,n04373089
switch_engine,n04373428
swivel_chair,n04373704
sword,n04373894
synagogue,n04374735
synthesizer,n04376400
syringe,n04376876
table,n04379964
table_knife,n04380346
table_lamp,n04380533
table-tennis_table,n04381587
table-tennis_racquet,n04381724
taboret,n04382438
tank,n04389033
tank_car,n04389521
tank_engine,n04389854
tap,n04390977
tape,n04392113
tape_player,n04392985
tap_wrench,n04393913
tavern,n04395875
tea_cart,n04397027
teapot,n04398044
tea_tray,n04399046
teddy,n04399382
telephone,n06272290
telephone_line,n04402057
telephone_pole,n04402449
telephone_system,n04402746
telephone_wire,n04402984
television,n06277280
television_camera,n04404997
television_equipment,n04405540
television_monitor,n04405762
television_receiver,n04405907
television_room,n04406239
temple,n04407686
tender,n04409128
tennis_ball,n04409515
tennis_camp,n04409625
tennis_racket,n04409806
tent,n04411264
tent-fly,n04412097
terry,n04414476
test_equipment,n04415257
test_rocket,n04415663
test_room,n04415815
thatch,n04417672
theater_curtain,n04418357
thermometer,n04421872
thimble,n04423845
third_rail,n04426184
thresher,n04428191
throne,n04429376
thumbtack,n04431745
thwart,n04432043
tiara,n04432203
tie,n04433585
tile,n04435180
tile_roof,n04435653
tin,n04438897
tire_chain,n04440963
toaster,n04442312
toaster_oven,n04442441
tobacco_shop,n04443257
toby,n04443766
toggle_switch,n04445952
toilet_bag,n04446844
toilet_bowl,n04447028
toilet_seat,n04447861
toll_bridge,n04449449
toll_line,n04449700
tone_arm,n04450465
tool,n04451818
toolbox,n04452615
tooth,n04453037
toothbrush,n04453156
top,n04453666
topgallant,n04454654
torch,n04456115
totem_pole,n04458633
towel,n04459362
tower,n04460130
tow_truck,n04461696
toy,n04461879
toy_box,n04462011
toyshop,n04462240
trackball,n04464615
tractor,n04465501
trail_bike,n04466871
trailer_truck,n04467665
train,n04468005
tramway,n04469813
transmission,n04472243
transporter,n04474035
transport_ship,n04474187
trap,n04474466
tray,n04476259
trellis,n04478512
trench_coat,n04479046
triangle,n04480853
tricycle,n04482393
trimaran,n04483307
tripod,n04485082
triumphal_arch,n04486054
trolleybus,n04487081
trombone,n04487394
trophy_case,n04488202
trouser,n04489008
trowel,n04489817
truck,n04490091
trundle_bed,n04491638
tub,n04493381
tugboat,n04495843
tumble-dryer,n04496726
tuning_fork,n04497801
turban,n04498389
turnstile,n04501370
twin_bed,n04503413
twinjet,n04503499
typewriter_keyboard,n04505470
umbrella,n04507155
umbrella_tent,n04507326
uneven_parallel_bars,n04509260
unicycle,n04509417
uniform,n04509592
upholstery_material,n04513998
upper_berth,n04514648
upright,n04515003
vacuum,n04517823
van,n04520382
variable-pitch_propeller,n04521571
vase,n04522168
vault,n04523831
vehicle,n04524313
velvet,n04525038
vending_machine,n04525305
Venetian_blind,n04525584
vertical_file,n04529681
vessel,n04531098
vestment,n04532106
viaduct,n04532670
video_recording,n04534127
vigil_light,n04534895
villa,n04535252
violin,n04536866
volleyball,n04540053
volleyball_net,n04540255
voting_booth,n04541987
voting_machine,n04542095
waffle_iron,n04542943
wagon,n04543158
walker,n04545471
walking_shoe,n04546081
wall,n04547592
wall_clock,n04548280
wallet,n04548362
wall_tent,n04549028
wall_unit,n04549122
wand,n04549629
ward,n04549919
wardrobe,n04550184
warplane,n04552348
washbasin,n04553703
washer,n04554684
washstand,n04555400
wastepaper_basket,n04555700
watch,n04555897
watch_cap,n04556408
watchtower,n04556948
water_bed,n04557522
water_bottle,n04557648
water_closet,n04558478
water_glass,n04559910
water_heater,n04560113
watering_can,n04560292
water_jug,n04560804
water_scooter,n04562122
water_tower,n04562935
weapon,n04565375
weighbridge,n04570958
weight,n04571292
wet_bar,n04573513
wheel,n04574999
wheelchair,n04576002
whip,n04577769
whisk,n04578801
whiskey_jug,n04579145
whispering_gallery,n04579230
whistle,n04579432
wicket,n04582869
widebody_aircraft,n04583620
wig,n04584207
Wilton,n04585128
windmill,n04587559
window,n04588739
window_box,n04589325
window_frame,n04589593
window_screen,n04589890
window_seat,n04590021
window_shade,n04590129
windshield_wiper,n04590746
Windsor_tie,n04591157
wine_bar,n04591631
wine_bottle,n04591713
wine_bucket,n04591887
wine_cask,n04592005
wing,n04592741
wing_chair,n04593077
wing_tip,n04593524
wire,n04594489
wire_cutter,n04594828
wok,n04596742
woman's_clothing,n04596852
wood,n04597066
wooden_spoon,n04597913
woodwind,n04598582
wool,n04599235
work-shirt,n04602956
worktable,n04603729
worm_fence,n04604644
wreck,n04606251
wrestling_mat,n04607035
writing_desk,n04608435
yacht,n04610013
yawl,n04612504
yurt,n04613696
paper,n14974264
newspaper,n06267145
school_newspaper,n06267758
call,n06272803
reception,n06281040
web_site,n06359193
document,n06470073
rock_opera,n06592281
magazine,n06595351
comic_book,n06596364
news_magazine,n06596474
trade_magazine,n06596845
crossword_puzzle,n06785654
sign,n06793231
street_sign,n06794110
traffic_light,n06874185
concert,n06892775
artwork,n06998748
book_jacket,n07248320
comestible,n07556637
finger_food,n07560331
kosher,n07560542
diet,n07560903
soft_diet,n07564796
vegetarianism,n07564971
menu,n07565083
board,n07565259
coloring,n07567139
kibble,n07567980
cornmeal,n07568095
farina,n07568241
roughage,n07568818
flour,n07569106
whole_wheat_flour,n07569644
commissariat,n07572353
larder,n07572616
canned_meat,n07573103
meal,n07573696
refreshment,n07574504
breakfast,n07574602
brunch,n07574923
lunch,n07575076
dinner,n07575726
supper,n07575984
cookout,n07576577
bite,n07577374
banquet,n07578093
entree,n07579575
adobo,n07579917
side_dish,n07580053
casserole,n07580359
appetizer,n07581346
guacamole,n07583066
soup,n07583197
consomme,n07584110
chicken_soup,n07585557
cock-a-leekie,n07585644
gazpacho,n07585758
